Index       TIME              V(IN)            V(IN1)            V(OUT)            V(VDD)            V(GATE)           V(OUT)            I(V_IN)          I(V_VDD)          I(R_LOAD)    
41       1.00375000e-10    2.00000000e-01    4.23957064e-01   -5.60000000e-02    1.00000000e+00    0.00000000e+00   -5.60000000e-02    2.23957064e-04   -1.00000000e-03   -5.60000000e-05
42       1.00475000e-10    4.00000000e-02    2.74224735e-01   -5.60000000e-02    1.00000000e+00    0.00000000e+00   -5.60000000e-02    2.34224735e-04   -1.00000000e-03   -5.60000000e-05
43       1.00675000e-10   -2.80000000e-01   -3.74149515e-02   -5.57779101e-02    1.00000000e+00    0.00000000e+00   -5.57779101e-02    2.42585048e-04   -1.00000000e-03   -5.57779101e-05
44       1.00875000e-10   -6.00000000e-01   -3.55663492e-01   -5.53331538e-02    1.00000000e+00    0.00000000e+00   -5.53331538e-02    2.44336508e-04   -1.00000000e-03   -5.53331538e-05
45       1.01000000e-10   -8.00000000e-01   -5.55394222e-01   -5.50551684e-02    1.00000000e+00    0.00000000e+00   -5.50551684e-02    2.44605778e-04   -1.00000000e-03   -5.50551684e-05
46       1.01006687e-10   -8.00000000e-01   -5.65636848e-01   -5.50403185e-02    1.00000000e+00    0.00000000e+00   -5.50403185e-02    2.34363152e-04   -1.00000000e-03   -5.50403185e-05
47       1.01011934e-10   -8.00000000e-01   -5.73408019e-01   -5.50286665e-02    1.00000000e+00    0.00000000e+00   -5.50286665e-02    2.26591981e-04   -1.00000000e-03   -5.50286665e-05
48       1.01022429e-10   -8.00000000e-01   -5.88434998e-01   -5.50053649e-02    1.00000000e+00    0.00000000e+00   -5.50053649e-02    2.11565002e-04   -1.00000000e-03   -5.50053649e-05
49       1.01043418e-10   -8.00000000e-01   -6.15595256e-01   -5.49587766e-02    1.00000000e+00    0.00000000e+00   -5.49587766e-02    1.84404744e-04   -1.00000000e-03   -5.49587766e-05
50       1.01064407e-10   -8.00000000e-01   -6.39268734e-01   -5.49122077e-02    1.00000000e+00    0.00000000e+00   -5.49122077e-02    1.60731266e-04   -1.00000000e-03   -5.49122077e-05
