Index       TIME              V(IN)            V(IN1)            V(OUT)            V(VDD)            V(GATE)           V(OUT)            I(V_IN)          I(V_VDD)          I(R_LOAD)    
36       3.47500000e-10    0.00000000e+00    0.00000000e+00   -5.59999998e-02    1.00000000e+00    0.00000000e+00   -5.59999998e-02    0.00000000e+00   -1.00000000e-03   -5.59999998e-05
37       3.57500000e-10    0.00000000e+00    0.00000000e+00   -5.59999998e-02    1.00000000e+00    0.00000000e+00   -5.59999998e-02    0.00000000e+00   -1.00000000e-03   -5.59999998e-05
38       3.67500000e-10    0.00000000e+00    0.00000000e+00   -5.59999998e-02    1.00000000e+00    0.00000000e+00   -5.59999998e-02    0.00000000e+00   -1.00000000e-03   -5.59999998e-05
39       3.77500000e-10    0.00000000e+00    0.00000000e+00   -5.59999998e-02    1.00000000e+00    0.00000000e+00   -5.59999998e-02    0.00000000e+00   -1.00000000e-03   -5.59999998e-05
40       3.87500000e-10    0.00000000e+00    0.00000000e+00   -5.59999998e-02    1.00000000e+00    0.00000000e+00   -5.59999998e-02    0.00000000e+00   -1.00000000e-03   -5.59999998e-05
41       3.97500000e-10    0.00000000e+00    0.00000000e+00   -5.59999998e-02    1.00000000e+00    0.00000000e+00   -5.59999998e-02    0.00000000e+00   -1.00000000e-03   -5.59999998e-05
42       4.07500000e-10    0.00000000e+00    0.00000000e+00   -5.59999998e-02    1.00000000e+00    0.00000000e+00   -5.59999998e-02    0.00000000e+00   -1.00000000e-03   -5.59999998e-05
43       4.17500000e-10    0.00000000e+00    0.00000000e+00   -5.59999998e-02    1.00000000e+00    0.00000000e+00   -5.59999998e-02    0.00000000e+00   -1.00000000e-03   -5.59999998e-05
44       4.27500000e-10    0.00000000e+00    0.00000000e+00   -5.59999998e-02    1.00000000e+00    0.00000000e+00   -5.59999998e-02    0.00000000e+00   -1.00000000e-03   -5.59999998e-05
45       4.37500000e-10    0.00000000e+00    0.00000000e+00   -5.59999998e-02    1.00000000e+00    0.00000000e+00   -5.59999998e-02    0.00000000e+00   -1.00000000e-03   -5.59999998e-05
46       4.47500000e-10    0.00000000e+00    0.00000000e+00   -5.59999998e-02    1.00000000e+00    0.00000000e+00   -5.59999998e-02    0.00000000e+00   -1.00000000e-03   -5.59999998e-05
